ID,Job,jobs2016,jobs2015,jobs2014,jobs2013,jobs2012,jobs2011,earnings2016,earnings2015,earnings2014,earnings2013,earnings2012,earnings2011
HD01_VD70,"Computer occupations, all other",569272,502477,476615,354952,308702,310873,70492,69200,68159,66550,62965,64775
HD01_VD320,Computer operators,75141,69473,64280,78265,85509,99475,42199,43932,41218,42028,42299,41240
HD01_VD63,Computer programmers,370512,381192,374346,374314,400585,385867,85795,83138,81928,80512,79869,77196
HD01_VD66,Computer support specialists,553718,528080,470915,458736,449413,429700,58027,56777,52551,52063,54970,53562
HD01_VD61,Computer systems analysts,448325,426775,473960,441538,422065,400787,80219,77420,76506,75886,75683,76004
HD01_VD378,"Computer, automated teller, and office machine repairers",145593,158624,155340,176644,201758,200084,43661,42617,42483,42430,43165,42943
HD01_VD99,Conservation scientists and foresters,18235,17087,15754,20271,21883,22118,60447,52470,56746,56075,54871,58395
HD01_VD361,Construction and building inspectors,74917,71140,67847,67510,66990,69378,56109,52118,51884,52318,52045,50917
HD01_VD345,Construction laborers,1180144,1171574,1113361,986693,918521,827756,32162,31609,31395,31027,31210,30771
HD01_VD18,Construction managers,573250,519273,491817,469706,510999,493869,71331,70871,70037,68101,66464,66169
HD01_VD395,Control and valve installers and repairers,16320,17079,15923,18621,18591,19169,52039,56570,53367,50254,49861,43479
HD01_VD513,Conveyor operators and tenders,4427,4294,4462,4831,3598,3978,36974,39835,37988,36041,41407,32300
HD01_VD224,Cooks,1201892,1182829,1158633,1111982,1122652,1069341,21756,21062,20695,20319,20098,19839
HD01_VD484,Cooling and freezing equipment operators and tenders,2374,2013,2034,2208,3279,2652,47469,34580,45539,35556,42283,33874
HD01_VD292,Correspondence clerks,3925,4705,4237,3933,4020,6504,48989,34330,35930,31789,34114,36527
HD01_VD38,Cost estimators,122804,117961,115808,105744,107791,95303,63106,62038,61037,57333,59137,61282
HD01_VD119,Counselors,536072,547839,499447,482328,483074,472277,45356,44100,43086,42349,41863,42008
HD01_VD264,Counter and rental clerks,52412,53595,47070,45567,48625,48892,31285,28417,28446,27373,29136,27700
HD01_VD228,"Counter attendants, cafeteria, food concession, and coffee shop",32438,35634,32166,30891,32050,35760,19179,18017,17266,17544,16286,16548
HD01_VD309,Couriers and messengers,141348,140185,146362,151599,144187,188429,37585,36487,39451,37808,36946,38788
HD01_VD293,"Court, municipal, and license clerks",62021,66156,59598,70610,65360,69945,38317,37256,36682,36977,37339,36887
HD01_VD514,Crane and tower operators,53751,53870,56717,52665,54050,50408,58290,60192,51753,51507,51481,50563
